,0,1,2,3,4,5,6,7,8,9,10
164,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:10.73Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
165,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:11.734Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
166,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:13.743Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
167,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:14.747Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
168,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:15.751Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
169,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:16.754Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
170,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:17.759Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
171,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:18.763Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
172,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:19.767Z,21.868285094374443,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
173,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:20.771Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
174,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:21.775Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
175,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:22.779Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
176,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:23.783Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
177,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:24.787Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
178,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:25.791Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
179,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:26.795Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
180,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:27.799Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
181,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:28.803Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
182,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:29.807Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
183,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:30.811Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
184,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:31.815Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
185,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:32.819Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
186,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:33.823Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
187,,,11,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:34.827Z,0,power,power_consumption,sensor,host_sensors-power-api-hwpc-1
